filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_784_ch_2691_strand.fast5	0568f78d-c6ef-46ef-a62d-1ff20f6efabb	f92717327e20661b488f6bebe7463e7dfa7490be	2691	1705.95375	2.5655	1979	True	0.0915	1979	2.474	1979	1472	10.139	-0.0008
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_933_ch_317_strand.fast5	08def1e6-4694-4c5c-a674-63f916080acf	f92717327e20661b488f6bebe7463e7dfa7490be	317	1705.82625	2.65175	2068	True	0.066	2068	2.58575	2068	1555	9.848	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_2605_ch_1605_strand.fast5	1677f010-98ec-49e7-bd68-b0dafb773de8	f92717327e20661b488f6bebe7463e7dfa7490be	1605	1771.064	1.95575	1517	True	0.059	1517	1.89675	1517	1044	10.567	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1150_ch_648_strand.fast5	18801242-968c-4b94-9a74-419413550554	f92717327e20661b488f6bebe7463e7dfa7490be	648	1724.6745	1.7645	1344	True	0.0845	1344	1.68	1344	981	9.821	-0.0013
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1111_ch_1607_strand.fast5	1f1405c0-93ff-4abb-b518-809c948571da	f92717327e20661b488f6bebe7463e7dfa7490be	1607	1750.3185	3.75825	2501	True	0.63175	2501	3.1265	2501	1916	9.804	-0.0003
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_775_ch_284_strand.fast5	2dde424c-6892-4973-90e7-4af7a81adaed	f92717327e20661b488f6bebe7463e7dfa7490be	284	1736.66125	3.092	2473	True	0.0	2473	3.092	2473	1810	12.084	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1267_ch_1333_strand.fast5	303e9216-c64a-4a08-810b-6f6707cf7f26	f92717327e20661b488f6bebe7463e7dfa7490be	1333	1763.85975	1.03625	763	True	0.082	763	0.95425	763	568	11.424	-0.0017
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1582_ch_2425_strand.fast5	3c00955e-266a-474d-bb72-f090ade91b1d	f92717327e20661b488f6bebe7463e7dfa7490be	2425	1723.5665	2.97325	2378	True	0.0	2378	2.97325	2378	1766	9.919	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1025_ch_2695_strand.fast5	6d3685ff-07b4-4af4-93f7-a724f7593208	f92717327e20661b488f6bebe7463e7dfa7490be	2695	1706.582	1.75575	1324	True	0.10075	1324	1.655	1324	1016	12.589	-0.0004
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1021_ch_1014_strand.fast5	77584736-27ae-45c5-8503-c726836a5108	f92717327e20661b488f6bebe7463e7dfa7490be	1014	1719.93775	1.56475	1251	True	0.0	1251	1.56475	1251	804	9.763	-0.001
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_825_ch_59_strand.fast5	8a7b2d62-3033-43bd-8270-4766c12b6405	f92717327e20661b488f6bebe7463e7dfa7490be	59	1701.66625	2.61625	2025	True	0.085	2025	2.53125	2025	1508	10.347	-0.0006
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_1109_ch_280_strand.fast5	8b96c5a8-eb97-4884-bfd9-f32b42b01c73	f92717327e20661b488f6bebe7463e7dfa7490be	280	1750.2035	1.86325	1398	True	0.11475	1398	1.7485	1398	1018	10.876	-0.0015
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_790_ch_601_strand.fast5	991f7496-80b1-4b8a-950e-945d60643067	f92717327e20661b488f6bebe7463e7dfa7490be	601	1694.98225	1.59375	1235	True	0.0495	1235	1.54425	1235	816	10.012	-0.0008
p_101_20171013_0004A30B001B26CE_PH_p_101_0_sequencing_run_d6869_67207_read_997_ch_2018_strand.fast5	9ac1b261-d916-4b8f-9799-01b4f5f285ec	f92717327e20661b488f6bebe7463e7dfa7490be	2018	1730.87875	1.4675	1164	True	0.0125	1164	1.455	1164	926	13.118	-0.0012
